NUMBER,MOVE_NAME,SP_COST,TYPE,POWER,ATTRIBUTE,INHERITABLE,DESCRIPTION
271,Lightning Javelin,15,Magic,105,Electric,0,"Magic attack, 105 Electric damage to one foe."
272,Genocide Attack,15,Physical,110,Fire,0,"Physical attack, 110 Fire damage to one foe. Tends to critical more often."
273,Atomic Blaster,15,Physical,250,Electric,0,"Physical attack, 250 Electric damage to one foe. Cannot move from recoil for one turn."
274,Giga Destroyer,15,Physical,115,Fire,0,"Physical attack, 115 Fire damage to one foe."
275,Revenge Flame,15,Direct,0,Neutral,0,Counterattack the enemy when you receive a physical or magic attack.
276,Nuclear Laser,30,Physical,0,Electric,0,"DEF-penetrating attack, Electric damage to one foe. 30% chance of increasing DEF by 10%."
277,Energy Bomb,15,Magic,100,Electric,0,"Magic attack, 100 Electric damage to one foe. Always hits."
278,Hearts Attack,30,Magic,0,Neutral,0,"INT-penetrating attack, Neutral damage to one foe. 20% chance of confusing target."
279,Savage Emperor,15,Magic,105,Light,0,"Magic attack, 105 Light damage to one foe."
280,Trident Revolver,15,Physical,40,Fire,0,"3 physical attacks, 40 Fire damage to one foe."
281,Lila Shower,15,Magic,60,Plant,0,"Magic attack, 60 Plant damage to all foes. 20% chance of poisoning target."
282,Golden Triangle I,15,Magic,90,Electric,0,"Magic attack, 90 Electric damage to one foe. 5% chance of increasing base stats by 10%."
283,Flower Cannon,15,Magic,105,Plant,0,"Magic attack, 105 Plant damage to one foe."
284,Dead or Alive,25,Magic,110,Neutral,0,"Magic attack, 110 Neutral damage to one foe. 10% to inflict a status effect, 5% chance of instantly killing target."
285,Darkness Wave,15,Magic,35,Dark,0,"2 magic attacks, 35 Dark damage to all foes."
286,Wolf Claw,15,Physical,120,Neutral,0,"Physical attack, 120 Neutral damage to one foe."
287,Full Moon Kick,15,Physical,110,Earth,0,"Physical attack, 110 Earth damage to one foe. 30% chance of increasing SPD by 10%."
288,Pandora Dialogue,15,Magic,0,Neutral,0,Reduces HP of all foes by 20%. Receive damage equal to 10% of HP from recoil.
289,Blade of the Dragon King,25,Physical,30,Light,0,"3-6 physical attacks, 30 Light damage to one foe."
290,The Ray of Victory,25,Physical,100,Light,0,"Physical attack, 100 Light damage to all. Always hits. 10% chance increasing SPD by 10%."
291,Brain Rupture,20,Magic,115,Electric,0,"Magic attack, 115 Electric damage to one foe. 20% chance of confusing target."
292,Megadeath,20,Magic,95,Dark,0,"Magic attack, 95 Dark damage to all foes."
293,Positron Laser,20,Physical,150,Light,0,"Physical attack, 150 Light damage to one foe."
294,Arctic Blizzard,20,Physical,125,Water,0,"Physical attack, 125 Water damage to one foe. 25% chance of stunning target."
295,Venom Infusion,20,Physical,135,Dark,0,"Physical attack, 135 Dark damage to one foe. 30% chance of poisoning target."
296,Terra Force,20,Physical,90,Fire,0,"Physical attack, 90 Fire damage to all foes. 30% chance of increasing ATK by 20%."
297,Pendragon's Glory,25,Physical,135,Wind,0,"Physical attack, 135 Wind damage to one foe."
298,Eden's Javelin,20,Magic,120,Light,0,"Magic attack, 120 Light damage to one foe. 30% chance of increasing INT by 20%."
299,Will-O'-Wisp Slash,20,Physical,65,Fire,0,"2 physical attacks, 65 Fire damage to one foe."
300,Demonic Disaster,25,Physical,140,Dark,0,"Physical attack, 140 Dark damage to one foe."
301,Quake!Blast!Fire!Father!,25,Physical,35,Fire,0,"4 physical attacks, 35 Fire damage to one foe."
302,Taizoukai Mandala,20,Magic,70,Dark,0,"Magic attack, 70 Dark damage to all foes. Cancel target''s positive effects."
303,Dimension Scissor,40,Physical,0,Plant,0,"DEF-penetrating attack, double Plant damage to one foe. Tends to critical more often."
304,Destruction Crush,20,Magic,80,Earth,0,"Magic attack, 80 Earth damage to all foes."
305,Waltz's End,25,Physical,30,Neutral,0,"3 physical attacks, 30 Neutral damage to all foes."
306,Heaven's Judgment,20,Magic,90,Light,0,"Magic attack, 90 Light damage to all foes. Tends to critical more often."
307,Howling Crusher,20,Physical,65,Earth,0,"2 physical attacks, 65 Earth damage to one foe."
308,Amethyst Mandala,20,Magic,70,Light,0,"Magic attack, 70 Light damage to all foes. Cancel target''s positive effects."
309,Judgement of the Blade,25,Physical,30,Neutral,0,"5 physical attacks, 30 Neutral damage to one foe."
310,GeoGrey Sword,20,Physical,130,Fire,0,"Physical attack, 130 Fire damage to one foe. Increases ATK by 10%."
311,Justice Kick,20,Physical,130,Neutral,0,"Physical attack, 130 Neutral damage to one foe. 1% chance of increasing ATK by 50%."
312,Bifrost,25,Magic,120,Light,0,"Magic attack, 120 Light damage to one foe. Increases SPD by 10%."
313,Strike of the Seven Stars,20,Magic,15,Light,0,"7 magic attacks, 15 Light damage to all foes."
314,Burst Shot,20,Physical,50,Fire,0,"2 physical attacks, 50 Fire damage to all foes."
315,Mach Stinger V,20,Physical,20,Electric,0,"6 physical attacks, 20 Electric damage to one foe. Tends to critical more often."
316,Soul Core Attack,40,Physical,0,Earth,0,"DEF-penetrating attack, double Earth damage to one foe."
317,Good Night Moon,20,Magic,125,Light,0,"Magic attack, 125 Light damage to one foe. Puts target to sleep."
318,Catastrophe Cannon,20,Physical,80,Fire,0,"3 physical attacks, 80 Fire damage to a foe. Cannot move from recoil for one turn."
319,Flame Inferno,25,Magic,90,Fire,0,"Magic attack, 90 Fire damage to all foes."
320,Lightning Joust,25,Physical,140,Light,0,"Physical attack, 140 Light damage to one foe. 30% chance of increasing DEF by 10%."
321,Wyvern's Breath,25,Physical,110,Wind,0,"Physical attack, 110 Wind damage to all foes. Receive recoil damage equal to 20% of HP."
322,Extinction Wave,25,Magic,80,Light,0,"Magic attack, 80 Light damage to all foes. Always hits."
323,Vulcan Crusher,30,Physical,145,Earth,0,"Physical attack, 145 Earth damage to one foe. 35% chance of stunning target. 95% accuracy."
324,Atomic Ray,20,Physical,125,Electric,0,"Physical attack, 125 Electric damage to one foe. 20% chance of stunning target."
325,Pandemonium Lost,25,Magic,80,Dark,0,"Magic attack, 80 Dark damage to all foes, absorbs 20% into HP."
326,Flashy Boss Punch,20,Physical,130,Light,0,"Physical attack, 130 Light damage to one foe. 50% chance of stunning target."
327,Trump Sword,20,Magic,35,Neutral,0,"4 magic attacks, 35 Neutral damage to one foe."
328,Puppet Pummel,20,Physical,125,Earth,0,"Physical attack, 125 Earth damage to one foe. 25% chance of stunning target."
329,Platinum Junk,20,Physical,30,Earth,0,"4 physical attacks, 30 Earth damage to one foe. 30% chance of reducing target''s ATK by 10%."
330,Dark Terra Force,20,Physical,100,Dark,0,"Physical attack, 100 Dark damage to all foes. 30% chance of increasing DEF by 20%."
331,Smile Warhead,20,Physical,130,Neutral,0,"Physical attack, 130 Neutral damage to one foe. 50% chance to cause knockback."
332,Sorrow Blue,40,Magic,0,Water,0,"INT-penetrating attack, Water damage to all foes. 25% chance of putting target to sleep."
333,Giga Blaster,20,Magic,120,Electric,0,"Magic attack, 120 Electric damage to one foe."
334,Double Impact,25,Physical,20,Dark,0,"8 physical attacks, 20 Dark damage to one foe. 90% accuracy."
335,Eternal Nightmare,50,Magic,0,Dark,0,"INT-penetrating attack, Dark damage to all foes. 50% chance of putting target to sleep."
336,Starlight Explosion,20,Magic,80,Fire,0,"Magic attack, 80 Fire damage to all foes."
337,Fire Tornado,20,Magic,80,Light,0,"Magic attack, 80 Light damage to all foes."
338,Tomahawk Stinger,20,Physical,130,Neutral,0,"Physical attack, 130 Neutral damage to one foe. 15% chance of confusing target."
339,Chaos Degradation,25,Direct,0,Neutral,0,Reduces HP of all foes by 25%.
340,Ocean Love,20,Support,0,Neutral,0,Restore HP to all battle members and recover all status effects.
341,Strike Roll,20,Physical,140,Neutral,0,"Physical attack, 140 Neutral damage to one foe. Tends to critical more often."
342,Full Moon Blaster,20,Physical,135,Light,0,"Physical attack, 135 Light damage to one foe. Always hits."
343,Infinity Cannon,20,Physical,115,Electric,0,"Physical attack, 115 Electric damage to all foes. 80% accuracy."
344,Banana Slip,20,Magic,115,Dark,0,"Magic attack, 115 Dark damage to one foe. 80% chance of stunning target."
345,Ice Wolf Claw,20,Physical,45,Water,0,"2 physical attacks, 45 Water damage to all foes."
346,River of Power,20,Magic,120,Water,0,"Magic attack, 120 Water damage to one foe."
347,Terrors Cluster,20,Physical,125,Electric,0,"Physical attack, 125 Electric damage to one foe. 25% chance of paralyzing target."
348,Biting Crush,25,Physical,145,Neutral,0,"Physical attack, 145 Neutral damage to one foe. 15% chance of instantly killing target."
349,Phantom Pain,50,Magic,0,Dark,0,"INT-penetrating attack, triple Dark damage to one foe. 35% chance of poisoning target."
350,Celestial Blade,20,Magic,80,Electric,0,"Magic attack, 80 Electric damage to all foes."
351,Spiral Masquerade,25,Physical,30,Dark,0,"4 physical attacks, 30 Dark damage to one foe. 30% chance of increasing SPD by 20%."
352,Thorn Whip,20,Physical,120,Plant,0,"Physical attack, 120 Plant damage to one foe, absorbs 50% into HP. 15% chance of paralyzing target."
353,Seven's Fantasia,20,Magic,75,Light,0,"Magic attack, 75 Light damage to all foes. 20% chance of confusing target."
354,Lightning Spear,40,Magic,0,Electric,0,"INT-penetrating attack, double Electric damage to one foe. Tends to critical more often."
355,Corona Destroyer,50,Physical,0,Dark,0,"DEF-penetrating attack, double Dark damage to one foe. Absorbs 20% of the damage as HP."
356,Dark Roar,15,Physical,130,Dark,0,"Physical attack, 130 Dark damage to one foe. 90% accuracy, tends to critical more often."
357,Fenrir Sword,15,Physical,130,Water,0,"Physical attack, 130 Water damage to one foe. 15% chance of instantly killing target."
358,Final Shining Burst,20,Physical,200,Fire,0,"Physical attack, 200 Fire damage to all foes. Decreases ATK by 10%."
359,Full Moon Meteor Impact,20,Physical,120,Light,0,"Physical attack, 120 Light damage to one foe. 30% chance of stunning and tends to critical."
360,Mourning Dance,20,Physical,20,Dark,0,"8 physical attacks, 20 Dark damage to one foe. Damage tends to fluctuate."
361,Aguichant L\E8vres,30,Magic,0,Light,0,INT-penetrating Light attack on one foe and absorbs 50% of the damage as HP.
362,Omni Sword,30,Physical,150,Neutral,0,"Physical attack, 150 Neutral damage to one foe. 10% chance of dotting target."
363,Transcendent Sword,30,Physical,115,Fire,0,"Physical attack, 115 Fire damage to all foes."
364,Gift of Darkness,60,Physical,0,Dark,0,"DEF-penetrating attack, triple Dark damage to one foe."
365,Divine Atonement,30,Magic,105,Light,0,"Magic attack, 105 Light damage to all foes."
366,Bantyo Blade,20,Physical,150,Neutral,0,"Physical attack, 150 Neutral damage to one foe. Damage tends to fluctuate."
367,Flaming Fist,10,Physical,50,Fire,0,"Physical attack, 50 Fire damage to all foes."
368,S-Gold Solar Storm,25,Magic,75,Light,0,"Magic attack, 75 Light damage to all foes. Increases DEF by 10%."
369,Golden Triangle,20,Magic,110,Light,0,"Magic attack, 110 Light damage to one foe. Increases base stats by 10%."
370,Soul Digitalization,25,Magic,95,Neutral,0,"Magic attack, 95 Neutral damage to all foes. 5% chance of instantly killing target."
371,Victory Sword,25,Physical,65,Wind,0,"2 physical attacks, 65 Wind damage to one foe."
372,Great Tornado,40,Physical,0,Fire,0,"DEF-penetrating attack, double Fire damage to one foe."
373,Dragonic Impact,50,Physical,100,Fire,0,"Physical attack, 100 Fire damage to all foes. Also knocks back targets."
374,Judecca Prison,25,Magic,115,Dark,0,"Magic attack, 115 Dark damage to one foe. Always hits and undoes any stat reductions."
375,Table Flip,25,Physical,100,Earth,0,"Physical attack, 100 Earth damage to all foes. 70% accuracy. Tends to critical more often."
376,Breath of the Gods,25,Support,0,Neutral,0,Nullifies any damage received until next turn.
377,Weltgeist,25,Support,0,Neutral,0,"Nullify all received damage until the next turn, and counterattacks when receiving physical or magic attacks."
378,Odin's Breath,25,Physical,105,Water,0,"Physical attack, 105 Water damage to all foes. 10% chance of putting target to sleep."
379,Shield of the Just,25,Magic,115,Light,0,"Magic attack, 115 Light damage to one foe. Always hits. Cancels negative effects on itself."
380,Dragon's Roar,25,Physical,55,Fire,0,"2 physical attacks, 55 Fire damage to a foe and absorbs 50% of the damage as HP."
381,Black Aura Blast,25,Magic,110,Dark,0,"Magic attack, 110 Dark damage to one foe. Decrease target''s DEF by 10%"
382,Black Tornado,40,Physical,0,Dark,0,"DEF-penetrating attack, double Dark damage to one foe."
383,Garuru Tomahawk,20,Physical,140,Neutral,0,"Physical attack, 140 Neutral damage to one foe. Always hits."
384,Fist of Athena,50,Physical,0,Fire,0,"DEF-penetrating attack, triple Fire damage to one foe. 30% chance of stunning target."
385,Supreme Cannon,30,Magic,130,Water,0,"Magic attack, 130 Water damage to one foe."
386,Dark Prominence,30,Magic,0,Dark,0,INT-penetrating Dark attack to one foe. 50% chance of crystallizing target.
387,Plasma Shoot,25,Physical,35,Fire,0,"3 physical attacks, 35 Fire damage to all foes."
